Accession,Kingdom,Ncbi.Phylum,Ncbi.Class,Ncbi.Order,Ncbi.Family,Ncbi.Genus,Ncbi.Species,Strain,Checkm_completeness,Checkm_contamination,Genome_size,Exo_amylase,Endo_amylase,Exo_cellulase,Endo_cellulase,Exo_hemicellulose,Endo_hemicellulose,Exo_chitosanase,Endo_chitosanase,Ligninase,TEA_Oxygen,TEA_Nitrate,TEA_Sulfite
GCA_023896135.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia vietnamiensis,Burkholderia vietnamiensis 2011Ycf928II,99.19,0,6633211,0,1,1,0,1,0,1,0,0,2,3,0
GCA_001524025.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia vietnamiensis,Burkholderia vietnamiensis FL-5-2-10-S1-D0,100,0,6712461,0,1,1,0,1,0,2,0,0,2,3,0
GCA_020419165.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia vietnamiensis,Burkholderia vietnamiensis AU34373,100,0.2,7194563,0,1,1,0,1,0,2,0,0,2,3,0
GCA_001523535.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia vietnamiensis,Burkholderia vietnamiensis LA-5-5-30-S1-D2,100,0.22,7058922,0,1,1,0,1,0,2,0,0,2,3,0
GCA_035871835.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia vietnamiensis,Burkholderia vietnamiensis N445,99.82,1.05,6502503,0,1,1,0,1,0,2,0,0,1,3,0
GCA_030482395.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia vietnamiensis,Burkholderia vietnamiensis AU44753,100,0.81,7102920,0,1,1,0,1,0,1,0,0,2,2,0
GCA_003019945.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia vietnamiensis,Burkholderia vietnamiensis FDAARGOS_239,100,0.08,6930411,0,1,1,0,1,0,2,0,0,2,3,0
GCA_016505885.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia vietnamiensis,Burkholderia vietnamiensis BC00020,99.6,0.2,6911801,0,1,1,0,1,0,2,0,0,2,3,0
GCA_030482985.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia vietnamiensis,Burkholderia vietnamiensis AU44029,100,0.2,7121953,0,0,1,0,1,0,2,0,0,1,2,0
GCA_022786145.1,Bacteria,Bacillota,Clostridia,Oscillospirales,Acutalibacteraceae,CAG-177,CAG-177 sp003514385,CAG-177 sp003514385 SUG895,96.77,0.31,2028826,1,0,3,1,5,0,1,0,0,0,0,0
GCA_018376615.1,Bacteria,Bacillota,Clostridia,Oscillospirales,Acutalibacteraceae,CAG-177,CAG-177 sp003514385,CAG-177 sp003514385 L3_072_000M1_dasL3_072_000M1_maxbin2.maxbin.092,96.6,1.34,2177596,1,0,5,1,5,0,1,0,0,0,0,0
GCA_028722485.1,Bacteria,Bacillota,Clostridia,Oscillospirales,Acutalibacteraceae,CAG-177,CAG-177 sp003514385,CAG-177 sp003514385 SUG1931,91.83,1.79,1844810,1,0,3,1,4,0,1,0,0,0,0,0
GCA_029224925.1,Bacteria,Bacillota,Clostridia,Oscillospirales,Acutalibacteraceae,CAG-177,CAG-177 sp003514385,CAG-177 sp003514385 SUG1560,95.64,2.35,1919652,1,0,3,1,4,0,1,0,0,0,0,0
GCA_025992795.1,Bacteria,Bacillota,Clostridia,Oscillospirales,Acutalibacteraceae,CAG-177,CAG-177 sp003514385,CAG-177 sp003514385 VEG01_HAM_0041,97.27,0,2293428,1,0,5,1,5,0,1,0,0,0,0,0
GCA_022774925.1,Bacteria,Bacillota,Clostridia,Oscillospirales,Acutalibacteraceae,CAG-177,CAG-177 sp003514385,CAG-177 sp003514385 SUG766,96.27,1.56,2011306,1,0,3,1,4,0,1,0,0,0,0,0
GCA_034173045.1,Bacteria,Bacillota,Clostridia,Oscillospirales,Acutalibacteraceae,CAG-177,CAG-177 sp003514385,CAG-177 sp003514385 SUG2796,92.17,1.79,1844810,1,0,3,1,4,0,1,0,0,0,0,0
GCA_034114965.1,Bacteria,Bacillota,Clostridia,Oscillospirales,Acutalibacteraceae,CAG-177,CAG-177 sp003514385,CAG-177 sp003514385 SUG2793,90.55,1.68,1780360,1,0,3,1,5,0,1,0,0,0,0,0
GCA_034118685.1,Bacteria,Bacillota,Clostridia,Oscillospirales,Acutalibacteraceae,CAG-177,CAG-177 sp003514385,CAG-177 sp003514385 SUG2795,90.9,1.34,1849888,1,0,3,1,5,0,1,0,0,0,0,0
GCA_000436215.1,Bacteria,Bacillota,Clostridia,Oscillospirales,Acutalibacteraceae,CAG-177,CAG-177 sp003514385,CAG-177 sp003514385 none,97.27,0,2114564,1,0,5,1,5,0,1,0,0,0,0,0
GCA_001305715.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter coli,Campylobacter coli BFR-CA-9557,99.32,1.81,1720506,0,0,0,0,0,0,0,0,0,0,1,0
GCA_036287945.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter coli,Campylobacter coli ME2L-23-226,99.44,0.33,1794178,0,0,0,0,0,0,0,0,0,0,0,0
GCA_016406685.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter coli,Campylobacter coli PSU-29,96.7,0.23,1670501,0,0,0,0,0,0,0,0,0,0,1,0
GCA_018501025.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter coli,Campylobacter coli TTU_613A,99.37,0.16,1884487,0,0,0,0,0,0,0,0,0,0,1,0
GCA_033241985.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter coli,Campylobacter coli IDH-11848,99.37,0.15,1768148,0,0,0,0,1,0,0,0,0,0,1,0
GCA_020687645.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter coli,Campylobacter coli 1.404-2011,99.62,0.15,1746378,0,0,0,0,0,0,0,0,0,0,1,0
GCA_006370435.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter coli,Campylobacter coli 143854,99.44,0.28,1709917,0,0,0,0,0,0,0,0,0,0,1,0
GCA_000253915.2,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter coli,Campylobacter coli 202;04,99.44,0.11,1675391,0,0,0,0,0,0,0,0,0,0,1,0
GCA_001761985.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter coli,Campylobacter coli BCW_4454,99.44,0.11,1983591,0,0,0,0,0,0,0,0,0,0,1,0
GCA_001419555.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter coli,Campylobacter coli CVM N13165,99.29,0.27,1782620,0,0,0,0,0,0,0,0,0,0,1,0
GCA_001416775.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter coli,Campylobacter coli CVM N45963,99.44,0.19,1708588,0,0,0,0,0,0,0,0,0,0,1,0
GCA_000583795.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter coli,Campylobacter coli RM5611,99.4,0.11,1733165,0,0,0,0,0,0,0,0,0,0,1,0
GCA_030402575.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter coli,Campylobacter coli 13777,99.44,0.19,1802158,0,0,0,0,0,0,0,0,0,0,1,0
GCA_001762245.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter coli,Campylobacter coli BCW_6448,99.66,0.33,1857061,0,0,0,0,0,0,0,0,0,0,1,0
GCA_001416825.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter coli,Campylobacter coli CVM N49249,99.44,0.11,1722611,0,0,0,0,0,0,0,0,0,0,1,0
GCA_001417255.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter coli,Campylobacter coli CVM N51619,99.44,0.11,1762126,0,0,0,0,0,0,0,0,0,0,1,0
GCA_036287925.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter coli,Campylobacter coli ME2L-23-224,99.44,0.11,1766406,0,0,0,0,0,0,0,0,0,0,1,0
GCA_005145685.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter coli,Campylobacter coli B05,99.44,0.32,1716659,0,0,0,0,0,0,0,0,0,0,1,0
GCA_011068005.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter coli,Campylobacter coli CFSAN093244,99.37,0.11,1672819,0,0,0,0,0,0,0,0,0,0,1,0
GCA_002165895.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_A,Campylobacter concisus,Campylobacter concisus Lasto205.94,99.82,0.37,1891545,0,0,0,0,0,0,1,0,0,0,1,0
GCA_002092845.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_A,Campylobacter concisus,Campylobacter concisus AUS22-Bd2,99.88,0.77,1835167,0,0,0,0,0,0,1,0,0,0,1,0
GCA_015229985.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_A,Campylobacter concisus,Campylobacter concisus H34O-S1,99.88,0.56,1803340,0,0,0,0,0,0,1,0,0,0,1,0
GCA_003048775.2,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_A,Campylobacter concisus,Campylobacter concisus P27CDO-S2,99.88,0.12,1834912,0,0,0,0,0,0,1,0,0,0,1,0
GCA_000259315.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_A,Campylobacter concisus,Campylobacter concisus UNSWCD,99.51,0.68,1778912,0,0,0,0,0,0,1,0,0,0,1,0
GCA_015258535.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_A,Campylobacter concisus,Campylobacter concisus JCVI_40_bin.1,97.59,1.56,1800991,0,0,0,0,0,0,1,0,0,0,1,0
GCA_032477795.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_A,Campylobacter concisus,Campylobacter concisus N4_138_010G1_dasN4_138_010G1_abawaca.28,99.14,0.57,1997987,0,0,0,0,0,0,2,0,0,0,0,0
GCA_901874975.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_A,Campylobacter concisus,Campylobacter concisus Campylobacter_concisus_BgEED07,99.51,0.19,1990492,0,0,0,0,0,0,1,0,0,0,1,0
GCA_002092835.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_A,Campylobacter concisus,Campylobacter concisus RCH 26,99.26,0.49,1915934,0,0,0,0,0,0,1,0,0,0,1,0
GCA_020351935.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_A,Campylobacter concisus,Campylobacter concisus BEO1,99.51,0.31,1858096,0,0,0,0,0,0,1,0,0,0,1,0
GCA_001721985.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter jejuni,Campylobacter jejuni MTVDSCj16,99.59,0.16,1785310,0,0,0,0,0,0,0,0,0,0,1,0
GCA_008386335.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter jejuni,Campylobacter jejuni BfR-CA-14430,99.36,0.15,1687752,0,0,0,0,0,0,0,0,0,0,1,0
GCA_020719435.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter jejuni,Campylobacter jejuni OBT12393,99.69,0.21,1627618,0,0,0,0,0,0,0,0,0,0,1,0
GCA_033096845.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter jejuni,Campylobacter jejuni BCH-10570,99.53,0.15,1821325,0,0,0,0,0,0,0,0,0,0,4,0
GCA_039652275.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter jejuni,Campylobacter jejuni 11-DS-2_2,99.56,0.16,1749741,0,0,0,0,0,0,0,0,0,0,0,0
GCA_036889465.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter jejuni,Campylobacter jejuni S2022744,99.52,0.18,1720412,0,0,0,0,0,0,0,0,0,0,1,0
GCA_900446445.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter jejuni,Campylobacter jejuni NCTC12543,97.83,0.78,1609065,0,0,0,0,0,0,0,0,0,0,1,0
GCA_019297125.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter jejuni,Campylobacter jejuni TW16720-2,97.22,0.15,1584273,0,0,0,0,0,0,0,0,0,0,1,0
GCA_014305415.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter jejuni,Campylobacter jejuni Chick020,99.35,0.2,1615566,0,0,0,0,0,0,0,0,0,0,1,0
GCA_003961795.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter jejuni,Campylobacter jejuni SO-26,99.59,1.97,1954229,0,0,0,0,0,0,0,0,0,0,1,0
GCA_019296945.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter jejuni,Campylobacter jejuni TW16689-2,93.48,1.39,1460710,0,0,0,0,0,0,0,0,0,0,1,0
GCA_012890095.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter jejuni,Campylobacter jejuni CFSAN093260,99.52,0.11,1627779,0,0,0,0,0,0,0,0,0,0,1,0
GCA_002805225.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter jejuni,Campylobacter jejuni CFSAN065343,99.57,0.15,1685694,0,0,0,0,0,0,0,0,0,0,1,0
GCA_003095975.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter jejuni,Campylobacter jejuni CAMSA2138,99.66,0.35,1657549,0,0,0,0,0,0,0,0,0,0,1,0
GCA_019296125.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter jejuni,Campylobacter jejuni TW16493-1,95.42,0.35,1565284,0,0,0,0,0,0,0,0,0,0,1,0
GCA_014397105.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter jejuni,Campylobacter jejuni Norway 9,99.24,0.58,1591226,0,0,0,0,0,0,0,0,0,0,1,0
GCA_036574685.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter jejuni,Campylobacter jejuni YZU-163,99.38,0.15,1680415,0,0,0,0,0,0,0,0,0,0,1,0
GCA_017356785.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter jejuni,Campylobacter jejuni R12,99.85,0.23,1664509,0,0,0,0,0,0,0,0,0,0,1,0
GCA_001764355.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter jejuni,Campylobacter jejuni BCW_4218,99.63,0.11,1688993,0,0,0,0,0,0,0,0,0,0,1,0
GCA_036578315.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter jejuni,Campylobacter jejuni Z228024,99.85,0.24,1645947,0,0,0,0,0,0,0,0,0,1,0,0
GCA_002806465.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter jejuni,Campylobacter jejuni CFSAN065301,99.21,0.15,1801109,0,0,0,0,0,0,0,0,0,0,1,0
GCA_020952635.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter jejuni,Campylobacter jejuni c14c54,99.52,0.21,1781732,0,0,0,0,0,0,0,0,0,0,1,0
GCA_003961045.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter jejuni,Campylobacter jejuni CB332,98.96,0.2,1760858,0,0,0,0,0,0,0,0,0,0,1,0
GCA_037701895.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter jejuni,Campylobacter jejuni Z1323CCJ0031,99.88,0.11,1667024,0,0,0,0,0,0,0,0,0,0,1,0
GCA_017357025.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter jejuni,Campylobacter jejuni RM1477,99.85,0.23,1694668,0,0,0,0,0,0,0,0,0,0,1,0
GCA_001763475.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter jejuni,Campylobacter jejuni BCW_6886,99.49,0.11,1729127,0,0,0,0,0,0,0,0,0,0,1,0
GCA_001878545.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter jejuni,Campylobacter jejuni CDPHFDLB-F15M01862-C,99.42,0.29,1654246,0,0,0,0,0,0,0,0,0,0,1,0
GCA_001877715.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter jejuni,Campylobacter jejuni CDPHFDLB-F15M03173-B1,99.71,0.11,1692234,0,0,0,0,0,0,0,0,0,0,1,0
GCA_002805625.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter jejuni,Campylobacter jejuni CFSAN065362,99.4,0.23,1676939,0,0,0,0,0,0,0,0,0,0,1,0
GCA_001865415.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter jejuni,Campylobacter jejuni TS1218,99.76,0.15,1805673,0,0,0,0,0,0,0,0,0,0,1,0
GCA_003961135.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter jejuni,Campylobacter jejuni CB317,99.66,0.11,1765883,0,0,0,0,0,0,0,0,0,0,1,0
GCA_001761945.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter lari,Campylobacter lari BCW_3783,98.78,0,1493439,0,0,0,0,0,0,0,0,0,0,1,0
GCA_025771325.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter lari,Campylobacter lari RKI_CA19_01122,98.78,0,1570265,0,0,0,0,0,0,0,0,0,0,1,0
GCA_024705335.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter lari,Campylobacter lari 3439-36,98.78,0,1531998,0,0,0,0,0,0,0,0,0,0,1,0
GCA_025869335.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter lari,Campylobacter lari AUSMDU00032421,98.78,0,1434461,0,0,0,0,0,0,0,0,0,0,1,0
GCA_024705345.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter lari,Campylobacter lari RM17285,98.78,0,1588170,0,0,0,0,0,0,0,0,0,0,1,0
GCA_900446585.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter lari,Campylobacter lari NCTC 12893,98.78,1.47,1613074,0,0,0,0,0,0,0,0,0,0,1,0
GCA_025772965.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter lari,Campylobacter lari CNRCH_2013_0898h,98.78,0,1610234,0,0,0,0,0,0,0,0,0,0,1,0
GCA_025869245.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter lari,Campylobacter lari AUSMDU00032411,98.78,0,1449215,0,0,0,0,0,0,0,0,0,0,1,0
GCA_024708765.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter lari,Campylobacter lari 2a,98.41,0,1599368,0,0,0,0,0,0,0,0,0,0,1,0
GCA_024705015.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter lari,Campylobacter lari S3:26,98.78,0,1474606,0,0,0,0,0,0,0,0,0,0,1,0
GCA_019613235.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter lari,Campylobacter lari SC1208,98.78,0,1445678,0,0,0,0,0,0,0,0,0,0,1,0
GCA_900638335.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter lari,Campylobacter lari NCTC11937,98.78,0,1542878,0,0,0,0,0,0,0,0,0,0,1,0
GCA_000816365.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter lari,Campylobacter lari NCTC 11845,98.78,0,1791508,0,0,0,0,0,0,0,0,0,0,1,0
GCA_025869005.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter lari,Campylobacter lari AUSMDU00034675,98.78,0,1472798,0,0,0,0,0,0,0,0,0,0,1,0
GCA_025869155.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter lari,Campylobacter lari AUSMDU00032300,98.78,0,1481451,0,0,0,0,0,0,0,0,0,0,1,0
GCA_018500595.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter lari,Campylobacter lari TTU_569,98.78,0.37,1541995,0,0,0,0,0,0,0,0,0,0,1,0
GCA_033129525.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter lari,Campylobacter lari BCH-10973,98.78,0,1507565,0,0,0,0,0,0,0,0,0,0,1,0
GCA_019616225.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter lari,Campylobacter lari SC1375,98.78,0.31,1445346,0,0,0,0,0,0,0,0,0,0,1,0
GCA_025868915.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter lari,Campylobacter lari AUSMDU00032418,98.78,0,1476485,0,0,0,0,0,0,0,0,0,0,1,0
GCA_024705135.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter lari,Campylobacter lari RM15610,98.78,0,1582397,0,0,0,0,0,0,0,0,0,0,1,0
GCA_025772685.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter lari,Campylobacter lari CNRCH_2015_1657,98.78,0,1554198,0,0,0,0,0,0,0,0,0,0,1,0
GCA_025772385.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter lari,Campylobacter lari FU_520,98.78,0,1517667,0,0,0,0,0,0,0,0,0,0,1,0
GCA_019622665.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter lari,Campylobacter lari SC0720,98.78,0,1540299,0,0,0,0,0,0,0,0,0,0,1,0
GCA_033242205.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter lari,Campylobacter lari IDH-12421,98.78,0,1471730,0,0,0,0,0,0,0,0,0,0,1,0
GCA_019611615.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter lari,Campylobacter lari SC1371,98.78,0,1445696,0,0,0,0,0,0,0,0,0,0,1,0
GCA_001762205.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter lari,Campylobacter lari BCW_4217,98.78,0,1491293,0,0,0,0,0,0,0,0,0,0,1,0
GCA_013372185.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter lari,Campylobacter lari LMG 8846,98.78,0,1513347,0,0,0,0,0,0,0,0,0,0,1,0
GCA_025772225.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter lari,Campylobacter lari IFREMER_LSEM_CL1097,98.78,0,1672640,0,0,0,0,0,0,0,0,0,0,1,0
GCA_025773055.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter lari,Campylobacter lari CNRCH_2013_0671h,98.78,0,1603345,0,0,0,0,0,0,0,0,0,0,1,0
GCA_025771865.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter lari,Campylobacter lari IFREMER_LSEM_CL2090,98.78,0,1607810,0,0,0,0,0,0,0,0,0,0,1,0
GCA_024705395.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter lari,Campylobacter lari RM16703,98.78,0.37,1590468,0,0,0,0,0,0,0,0,0,0,1,0
GCA_024705265.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter lari,Campylobacter lari RM16711,98.78,0,1506509,0,0,0,0,0,0,0,0,0,0,1,0
GCA_025771825.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter lari,Campylobacter lari IFREMER_LSEM_CL2101,98.41,0,1523925,0,0,0,0,0,0,0,0,0,0,1,0
GCA_025868805.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter lari,Campylobacter lari AUSMDU00032416,98.78,0,1444126,0,0,0,0,0,0,0,0,0,0,1,0
