Accession,Kingdom,Ncbi.Phylum,Ncbi.Class,Ncbi.Order,Ncbi.Family,Ncbi.Genus,Ncbi.Species,Strain,Sequencing_coverage,Scaffolds_number,Scaffold_N50,Scaffold_L50,Genome_size,Exo_amylase,Endo_amylase,Exo_cellulase,Endo_cellulase,Exo_hemicellulose,Endo_hemicellulose,Exo_chitosanase,Endo_chitosanase,Ligninase,TEA_Oxygen,TEA_Nitrate,TEA_Sulfite
GCA_019924415.1,Fungi,Ascomycota,Dothideomycetes,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium melanogenum,Aureobasidium melanogenum EXF-9262,955.651,138,439174,19,25432707,2,4,13,4,14,8,2,4,4,0,0,0
GCA_019924175.1,Fungi,Ascomycota,Dothideomycetes,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium melanogenum,Aureobasidium melanogenum EXF-9906,262.228,197,316528,29,27011532,2,5,14,4,11,7,2,6,4,0,0,0
GCA_903819665.1,Fungi,Ascomycota,Dothideomycetes,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium mustum,Aureobasidium mustum NA,90,13,2332598,5,27251766,2,2,14,4,15,8,2,4,4,0,0,0
GCA_000721765.1,Fungi,Ascomycota,Dothideomycetes,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium namibiae,Aureobasidium namibiae CBS 147.97,138.7,47,1074982,9,25427801,2,5,18,5,18,9,2,2,3,0,0,0
GCA_041956735.1,Fungi,Ascomycota,Dothideomycetes,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium pullulans,Aureobasidium pullulans ATCC 62921,30,47,2309889,5,27719363,2,5,20,4,16,12,2,3,3,0,0,0
GCA_004917355.1,Fungi,Ascomycota,Dothideomycetes,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium pullulans,Aureobasidium pullulans EXF-10085,56,137,545043,17,27845892,2,4,19,5,18,11,2,3,3,0,0,0
GCA_000721785.1,Fungi,Ascomycota,Dothideomycetes,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium pullulans,Aureobasidium pullulans EXF-150,172.5,186,1166847,10,29585801,2,5,20,4,16,12,2,3,3,0,0,0
GCA_903819485.1,Fungi,Ascomycota,Dothideomycetes,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium pullulans,Aureobasidium pullulans NA,50,15,2588918,5,31036874,2,3,20,5,15,11,2,4,2,0,0,0
GCA_036418965.1,Fungi,Ascomycota,Dothideomycetes,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium pullulans,Aureobasidium pullulans NRRL 62042,104,50,1169448,8,24211114,2,5,15,5,13,9,2,4,3,0,0,0
GCA_023848595.1,Fungi,Ascomycota,Dothideomycetes,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium sp.,Aureobasidium sp. EXF-10727,282,183,292519,30,25420412,2,5,15,4,15,9,2,3,3,0,0,0
GCA_023848605.1,Fungi,Ascomycota,Dothideomycetes,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium sp.,Aureobasidium sp. EXF-10728,425,186,347343,22,25387844,2,4,16,4,15,9,2,3,3,0,0,0
GCA_019924955.1,Fungi,Ascomycota,Dothideomycetes,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium sp.,Aureobasidium sp. EXF-3399,236.504,178,324492,26,25501793,2,5,17,5,19,9,2,2,3,0,0,0
GCA_024244255.1,Fungi,Ascomycota,Dothideomycetes,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium subglaciale,Aureobasidium subglaciale EXF-11962,223,181,302130,27,26113063,2,4,18,4,15,9,2,4,2,0,0,0
GCA_024244225.1,Fungi,Ascomycota,Dothideomycetes,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium subglaciale,Aureobasidium subglaciale EXF-12336,361,198,313573,30,26338116,2,3,19,3,15,9,2,4,3,0,0,0
GCA_000721755.1,Fungi,Ascomycota,Dothideomycetes,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium subglaciale,Aureobasidium subglaciale EXF-2481,814,75,821214,11,25791175,2,5,20,4,17,9,2,4,3,0,0,0
GCA_024244335.1,Fungi,Ascomycota,Dothideomycetes,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium subglaciale,Aureobasidium subglaciale EXF-4632,381,190,361504,24,24698325,2,5,14,4,12,9,2,2,3,0,0,0
GCA_903853725.1,Fungi,Ascomycota,Dothideomycetes,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium uvarum,Aureobasidium uvarum NA,70,19,2049633,5,25618281,2,1,13,2,14,9,2,3,2,0,0,0
GCA_903819635.1,Fungi,Ascomycota,Dothideomycetes,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium vineae,Aureobasidium vineae NA,30,17,2109315,5,25936416,1,0,14,3,13,9,2,3,3,0,0,0
GCA_014898285.1,Fungi,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Botrytis,Botrytis aclada,Botrytis aclada 633,55,16,3028304,7,48314413,3,5,16,6,11,9,2,4,0,0,0,0
GCA_014898295.1,Fungi,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Botrytis,Botrytis byssoidea,Botrytis byssoidea MUCL 94,97,59,1263484,11,42981876,3,4,14,6,13,9,2,5,0,0,0,0
GCA_000143535.4,Fungi,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Botrytis,Botrytis cinerea,Botrytis cinerea B05.10,35,18,2617329,7,42630066,4,5,19,6,12,9,3,5,0,0,0,0
GCA_037039555.1,Fungi,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Botrytis,Botrytis cinerea,Botrytis cinerea BC371,100,106,2469449,8,44656540,3,4,14,5,12,11,2,4,0,0,0,0
GCA_037039525.1,Fungi,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Botrytis,Botrytis cinerea,Botrytis cinerea BC448,100,73,2560315,8,45550921,3,5,15,6,11,9,2,5,0,0,0,0
GCA_031205075.2,Fungi,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Botrytis,Botrytis cinerea,Botrytis cinerea M3a,175,23,2590247,8,43841354,3,5,12,6,10,8,1,3,0,0,0,0
GCA_014898535.1,Fungi,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Botrytis,Botrytis deweyae,Botrytis deweyae B1,96,76,1076441,13,44366920,3,5,14,6,14,9,2,8,0,0,0,0
GCA_014898555.1,Fungi,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Botrytis,Botrytis elliptica,Botrytis elliptica Be9612,79,137,652925,22,47665151,3,5,14,6,12,8,2,8,0,0,0,0
GCA_013461495.1,Fungi,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Botrytis,Botrytis fragariae,Botrytis fragariae BVB16,90,28,2431652,7,41923773,3,5,14,5,11,9,2,5,0,0,0,0
GCA_014898465.1,Fungi,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Botrytis,Botrytis porri,Botrytis porri MUCL 3234,42,31,2706297,8,46789968,3,5,12,6,11,9,2,5,0,0,0,0
GCA_014898435.1,Fungi,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Botrytis,Botrytis sinoallii,Botrytis sinoallii Bc 23,94,47,2252689,10,61289320,3,5,14,6,12,7,2,5,0,0,0,0
GCA_019359905.1,Fungi,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,Candida africana,Candida africana CEC4854,100,7,1768346,3,11762258,0,0,1,1,0,0,1,1,0,0,0,0
GCA_041438225.1,Fungi,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,Candida albicans,Candida albicans 101,61,8,2299895,3,14461588,1,0,2,2,1,0,1,2,0,0,0,0
GCA_000773845.1,Fungi,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,Candida albicans,Candida albicans 12C,121,50,536647,9,14212533,1,0,2,2,1,0,2,2,0,0,0,0
GCA_000775445.1,Fungi,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,Candida albicans,Candida albicans 19F,167,60,551228,9,14303032,1,0,2,2,1,0,2,2,0,0,0,0
GCA_000691765.2,Fungi,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,Candida albicans,Candida albicans Ca529L,176,87,1231433,4,14200839,1,0,2,2,1,0,2,2,0,0,0,0
GCA_000784695.1,Fungi,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,Candida albicans,Candida albicans Ca6,179,82,400469,12,14437595,1,0,2,2,0,0,2,2,0,0,0,0
GCA_014049485.1,Fungi,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,Candida albicans,Candida albicans FDAARGOS_656,1085,68,833775,7,16936052,1,0,3,2,0,0,2,1,0,0,0,0
GCA_000773735.1,Fungi,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,Candida albicans,Candida albicans GC75,167,73,559034,9,14374193,1,0,2,2,1,0,2,2,0,0,0,0
GCA_000775455.1,Fungi,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,Candida albicans,Candida albicans L26,139,57,577645,8,14282608,1,0,2,2,1,0,2,2,0,0,0,0
GCA_000775465.1,Fungi,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,Candida albicans,Candida albicans P34048,160,52,554132,8,14233467,1,0,2,2,1,0,2,2,0,0,0,0
GCA_000773745.1,Fungi,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,Candida albicans,Candida albicans P37005,85,45,769828,7,14153954,1,0,2,2,1,0,2,2,0,0,0,0
GCA_000773825.1,Fungi,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,Candida albicans,Candida albicans P37037,179,48,473104,8,14215527,1,0,2,2,1,0,2,2,0,0,0,0
GCA_000784515.1,Fungi,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,Candida albicans,Candida albicans P37039,122,50,791860,7,14260076,1,0,2,2,1,0,2,2,0,0,0,0
GCA_000775505.1,Fungi,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,Candida albicans,Candida albicans P57055,162,56,545440,7,14252832,1,0,2,2,1,0,2,2,0,0,0,0
GCA_000773805.1,Fungi,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,Candida albicans,Candida albicans P57072,198,45,793722,7,14161392,1,0,2,2,0,0,2,2,0,0,0,0
GCA_000784525.1,Fungi,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,Candida albicans,Candida albicans P60002,131,47,1172852,5,14216551,1,0,2,2,0,0,2,2,0,0,0,0
GCA_000784575.1,Fungi,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,Candida albicans,Candida albicans P75010,154,56,910766,5,14216401,1,0,2,2,1,0,2,2,0,0,0,0
GCA_000784595.1,Fungi,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,Candida albicans,Candida albicans P75016,138,50,1306612,5,14146236,1,0,2,2,1,0,2,2,0,0,0,0
GCA_000775525.1,Fungi,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,Candida albicans,Candida albicans P75063,152,51,741340,6,14206097,1,0,2,2,1,0,2,2,0,0,0,0
GCA_000784505.1,Fungi,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,Candida albicans,Candida albicans P76055,161,38,988382,4,14159255,1,0,2,2,0,0,2,2,0,0,0,0
GCA_000784495.1,Fungi,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,Candida albicans,Candida albicans P76067,163,45,784277,6,14179204,1,0,2,2,0,0,2,2,0,0,0,0
GCA_000784615.1,Fungi,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,Candida albicans,Candida albicans P78042,163,70,479789,9,14345325,1,0,2,2,1,0,2,2,0,0,0,0
GCA_000773725.1,Fungi,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,Candida albicans,Candida albicans P78048,176,59,710135,8,14196420,1,0,2,2,1,0,2,2,0,0,0,0
GCA_000774085.1,Fungi,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,Candida albicans,Candida albicans P87,103,44,858745,6,14281212,1,0,2,2,1,0,2,2,0,0,0,0
GCA_000773755.1,Fungi,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,Candida albicans,Candida albicans P94015,176,58,1053458,5,14240314,1,0,2,2,1,0,2,2,0,0,0,0
GCA_000182965.3,Fungi,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,Candida albicans,Candida albicans SC5314,700,8,2231883,3,14276407,1,0,2,2,1,0,2,1,0,0,0,0
GCA_024610255.1,Fungi,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,Candida jiufengensis,Candida jiufengensis CBS 10846,200,20,1273379,4,13665735,0,0,1,2,1,0,2,1,0,0,0,0
GCA_050495715.1,Fungi,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,Candida maltosa,Candida maltosa Xu316,100,45,1315209,5,14040896,1,0,2,3,1,0,2,1,0,0,0,0
GCA_017655625.1,Fungi,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,Candida metapsilosis,Candida metapsilosis BP57,150,9,2138570,3,13093264,1,0,1,2,1,0,2,1,0,0,0,0
GCA_023343755.2,Fungi,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,Candida oxycetoniae,Candida oxycetoniae CBS 10844,200,102,215035,19,12746247,0,0,1,2,0,0,1,1,0,0,0,0
GCA_014049585.1,Fungi,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,Candida parapsilosis,Candida parapsilosis FDAARGOS_650,2285.29,15,2090316,3,13325358,1,0,1,2,1,0,2,1,0,0,0,0
GCA_014049455.1,Fungi,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,Candida parapsilosis,Candida parapsilosis FDAARGOS_651,520.15,13,1495611,3,13193707,1,0,1,2,1,0,2,1,0,0,0,0
GCA_014049445.1,Fungi,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,Candida parapsilosis,Candida parapsilosis FDAARGOS_652,464.38,13,2092998,3,13253733,1,0,1,2,1,0,2,1,0,0,0,0
GCA_014049495.1,Fungi,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,Candida parapsilosis,Candida parapsilosis FDAARGOS_653,460.73,12,2093445,3,13204426,1,0,1,2,1,0,2,1,0,0,0,0
GCA_903989565.1,Fungi,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,Candida parapsilosis,Candida parapsilosis NA,84,9,2087746,3,13048447,1,0,1,2,1,0,2,1,0,0,0,0
GCA_964022785.1,Fungi,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,Candida parapsilosis,Candida parapsilosis SMI416,133,32,1402579,4,13370779,1,0,1,2,1,0,2,1,0,0,0,0
GCA_964022765.1,Fungi,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,Candida parapsilosis,Candida parapsilosis SMI588,144,29,1400889,4,13437136,1,0,1,2,1,0,2,1,0,0,0,0
GCA_964022755.1,Fungi,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,Candida parapsilosis,Candida parapsilosis SMI596,131,20,2087741,3,13209714,1,0,1,2,1,0,2,1,0,0,0,0
GCA_964022775.1,Fungi,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,Candida parapsilosis,Candida parapsilosis SMI706,327,17,1465361,4,13112520,1,0,1,2,1,0,2,1,0,0,0,0
GCA_964022805.1,Fungi,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,Candida parapsilosis,Candida parapsilosis SMI798,131,27,2006230,3,13351021,1,0,1,2,1,0,2,1,0,0,0,0
GCA_964022795.1,Fungi,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,Candida parapsilosis,Candida parapsilosis SMI828,206,37,1105301,5,13536483,1,0,1,2,1,0,2,1,0,0,0,0
GCA_963989715.1,Fungi,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,Candida parapsilosis,"Candida parapsilosis SR23, CBS 7157",299,8,2092548,3,13037250,1,0,1,2,1,0,2,1,0,0,0,0
GCA_024610245.1,Fungi,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,Candida pseudojiufengensis,Candida pseudojiufengensis CBS 10847,200,54,828659,7,13993313,1,0,1,2,1,0,2,1,0,0,0,0
GCA_024610275.1,Fungi,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,Candida theae,Candida theae CBS 12239,200,178,205210,19,12396429,1,0,1,2,1,0,2,1,0,0,0,0
GCA_017315405.1,Fungi,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,Candida tropicalis,Candida tropicalis MYA-3404,129,16,2216334,3,14486417,1,0,2,3,1,0,2,1,0,0,0,0
GCA_947670415.1,Fungi,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,Candida verbasci,Candida verbasci NA,157,8,1775161,2,12165646,1,0,3,2,1,0,2,1,0,0,0,0
GCA_003327735.1,Fungi,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,Candida viswanathii,Candida viswanathii ATCC 20962,67.93,30,2051212,5,24170369,2,0,3,6,2,0,3,2,0,0,0,0
GCA_000835475.1,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,Cladophialophora bantiana,Cladophialophora bantiana CBS 173.52,122,60,1665677,9,36639109,1,2,8,5,9,1,3,2,0,0,0,0
GCA_000365165.2,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,Cladophialophora carrionii,Cladophialophora carrionii CBS 160.54,80,19,3197266,4,28979941,1,3,6,3,8,1,4,1,0,0,0,0
GCA_001700775.1,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,Cladophialophora carrionii,Cladophialophora carrionii KSF,30,22,3175452,4,29775793,1,1,6,3,6,1,4,1,0,0,0,0
GCA_030247875.1,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,Cladophialophora chaetospira,Cladophialophora chaetospira TK_41,35.2401,179,1635382,9,35550912,1,3,7,4,15,2,4,1,0,0,0,0
GCA_000585535.1,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,Cladophialophora psammophila,Cladophialophora psammophila CBS 110553,133,123,1349832,10,39333014,1,2,8,5,10,1,3,2,0,0,0,0
GCA_000585515.1,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,Cladophialophora yegresii,Cladophialophora yegresii CBS 114405,132,8,4268086,3,27887733,1,2,6,3,7,1,3,1,0,0,0,0
GCA_047371005.1,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum abscissum,Colletotrichum abscissum LW-VAL-2A,100,50,4528207,5,53602113,2,5,32,11,27,16,4,18,5,0,0,0
GCA_013390185.1,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum aenigma,Colletotrichum aenigma Cg56,76,79,5181253,5,59189926,2,4,30,10,23,17,4,20,5,0,0,0
GCA_030867565.1,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum costaricense,Colletotrichum costaricense IMI 309622,200,70,2423109,8,51623800,2,5,32,11,28,16,4,18,5,0,0,0
GCA_034447905.1,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum destructivum,Colletotrichum destructivum CBS 520.97,224,12,5290227,5,51750812,2,4,30,8,17,16,4,18,6,0,0,0
GCA_026319145.1,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum fioriniae,Colletotrichum fioriniae ACFK5,103,144,688115,21,49413510,2,3,29,9,22,16,4,14,5,0,0,0
GCA_027942845.1,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum fioriniae,Colletotrichum fioriniae IMI 355084,216,46,2983733,6,49445802,2,5,29,9,22,16,4,15,5,0,0,0
GCA_013390205.1,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum fructicola,Colletotrichum fructicola Cf413,168,14,4902990,5,56528462,2,4,33,10,26,17,5,21,6,0,0,0
GCA_000319635.2,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum fructicola,Colletotrichum fructicola Nara gc5,174,12,5461344,5,59542867,2,4,33,10,27,17,5,24,6,0,0,0
GCA_021432615.1,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum gloeosporioides,Colletotrichum gloeosporioides 23,49.1,119,2304310,9,58404311,2,4,34,10,27,17,4,22,6,0,0,0
GCA_011800055.1,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum gloeosporioides,Colletotrichum gloeosporioides Lc1,110,128,709944,27,61761323,2,4,34,9,26,17,4,20,6,0,0,0
GCA_030913485.1,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum godetiae,Colletotrichum godetiae CBS 193.32,235,194,737523,21,51652851,2,5,31,9,25,16,4,19,4,0,0,0
GCA_029226625.1,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum graminicola,Colletotrichum graminicola NA,314,13,6444216,5,57426452,2,4,16,7,17,15,4,14,5,0,0,0
GCA_001672515.1,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum higginsianum,Colletotrichum higginsianum IMI 349063,133,25,5201688,5,50716103,2,4,27,8,16,16,4,16,6,0,0,0
GCA_023705605.1,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum higginsianum,Colletotrichum higginsianum MAFF 245053,73,27,4389193,5,49069799,2,4,27,8,15,19,4,15,6,0,0,0
GCA_004920355.1,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum higginsianum,Colletotrichum higginsianum MAFF305635-RFP,65,28,5064939,5,49786461,2,4,27,8,15,16,4,15,6,0,0,0
GCA_011947395.2,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum karsti,Colletotrichum karsti CkLH20,85,127,857663,21,51849281,2,5,36,9,26,16,5,16,6,0,0,0
GCA_022179045.1,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum liriopes,Colletotrichum liriopes MAFF 242679,64,82,1221453,14,52972150,2,5,26,7,20,22,3,19,5,0,0,0
GCA_030913515.1,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum lupini,Colletotrichum lupini CBS 109225,97,116,918987,20,58756634,2,5,29,10,23,16,4,17,5,0,0,0
GCA_023278565.1,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum lupini,Colletotrichum lupini IMI 504893,300,11,7871922,4,63407421,2,4,31,10,26,16,4,17,5,0,0,0
GCA_030868995.1,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum melonis,Colletotrichum melonis NA,200,92,2830390,7,50128905,2,5,32,10,29,16,4,18,5,0,0,0
GCA_030867605.1,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum paranaense,Colletotrichum paranaense IMI 384185,200,36,3374443,6,49177916,2,5,29,10,28,16,4,18,5,0,0,0
GCA_030913505.1,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum phormii,Colletotrichum phormii CBS 102054,97,71,1798794,10,51666170,2,5,27,10,21,14,4,21,5,0,0,0
GCA_018906765.1,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum scovillei,Colletotrichum scovillei Coll-153,105,59,3536762,5,50113453,2,4,29,10,30,15,4,16,5,0,0,0
GCA_018906675.1,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum scovillei,Colletotrichum scovillei Coll-365,104,59,3528503,5,49921798,2,4,30,10,29,15,4,16,5,0,0,0
GCA_018907675.1,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum scovillei,Colletotrichum scovillei Coll-524,71.9,54,3597184,5,51013638,2,4,29,10,29,15,4,16,5,0,0,0
GCA_011075155.1,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum scovillei,Colletotrichum scovillei TJNH1,365,15,4871440,5,52001227,2,4,29,8,33,16,4,18,5,0,0,0
GCA_013201795.1,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum siamense,Colletotrichum siamense CAD4,258.02,199,823408,24,58148073,2,4,33,10,26,17,4,20,6,0,0,0
GCA_013390195.1,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum siamense,Colletotrichum siamense Cg363,166,22,5441060,5,62936415,2,4,32,10,26,17,4,20,6,0,0,0
GCA_044063575.1,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum sp.,Colletotrichum sp. CLE4,408,168,506655,32,48024615,2,5,28,9,18,16,4,15,5,0,0,0
GCA_022836535.1,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum spaethianum,Colletotrichum spaethianum MAFF 239500,63,84,1120470,16,50915707,2,4,25,7,14,20,4,15,6,0,0,0
GCA_036851105.1,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum tabaci,Colletotrichum tabaci YC1,187,58,3611167,7,52145981,2,4,28,8,17,16,4,16,6,0,0,0
GCA_022836595.1,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum tofieldiae,Colletotrichum tofieldiae 0861,81,28,4211846,5,52991954,2,4,28,8,16,22,4,17,6,0,0,0
GCA_022836555.1,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum tofieldiae,Colletotrichum tofieldiae MAFF 712333,81,19,6011218,5,54252643,2,5,29,8,20,22,4,17,6,0,0,0
GCA_022836575.1,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum tofieldiae,Colletotrichum tofieldiae MAFF 712334,79,27,3719715,6,53983402,2,5,30,9,19,21,4,17,6,0,0,0
GCA_014235925.2,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum truncatum,Colletotrichum truncatum CMES1059,200,22,4568912,4,57008971,2,4,32,8,29,18,5,26,7,0,0,0
