ncbi_genbank_assembly_accession,Checkm_completenes,Checkm_contamination,Silva.Kingdom,Silva.Phylum,Silva.Class,Silva.Order,Silva.Family,Silva.Genus,Silva.Species,Ncbi.Species,Strain,Exo_amylase,Endo_amylase,Exo_cellulase,Endo_cellulase,Exo_hemicellulose,Endo_hemicellulose,Exo_chitosanase,Endo_chitosanase,Ligninase,TEA_Oxygen,TEA_Nitrate,TEA_Sulfite
GCA_019643165.1,100,0.58,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia,Burkholderia cepacia,Burkholderia cepacia 101120021-2,0,1,3,0,2,0,2,0,0,3,0,0
GCA_040948675.1,100,0.58,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,Paraburkholderia_nodosa,Paraburkholderia nodosa,Paraburkholderia nodosa BR14312,0,1,4,1,1,1,1,0,0,2,3,0
GCA_004922135.1,100,0.59,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Legionella_pneumophila,Legionella pneumophila,Legionella pneumophila HH41,1,0,0,0,0,0,2,0,0,1,0,0
GCA_021261355.1,100,0.6,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Bradyrhizobium_japonicum,Bradyrhizobium japonicum,Bradyrhizobium japonicum S 340,1,1,0,1,0,1,2,0,0,3,1,0
GCA_024808895.1,100,0.6,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Bradyrhizobium_elkanii,Bradyrhizobium elkanii,Bradyrhizobium elkanii USDA 77,1,2,2,1,1,0,1,1,0,3,3,0
GCA_035229585.1,100,0.6,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Bradyrhizobium_japonicum,Bradyrhizobium japonicum,Bradyrhizobium japonicum CNPSo 31,1,1,0,1,0,1,2,0,0,3,1,0
GCA_035237585.1,100,0.6,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Bradyrhizobium_japonicum,Bradyrhizobium japonicum,Bradyrhizobium japonicum CNPSo 22,1,1,0,1,0,1,2,0,0,3,1,0
GCA_024807975.1,100,0.6,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Bradyrhizobium_elkanii,Bradyrhizobium elkanii,Bradyrhizobium elkanii USDA 84,1,2,2,1,1,0,1,1,0,3,3,0
GCA_024170885.1,100,0.6,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Bradyrhizobium_elkanii,Bradyrhizobium elkanii,Bradyrhizobium elkanii USDA 8,1,2,2,1,1,0,1,1,0,3,3,0
GCA_035213235.1,100,0.6,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Bradyrhizobium_japonicum,Bradyrhizobium japonicum,Bradyrhizobium japonicum CNPSo 34,1,1,0,1,0,1,2,0,0,3,1,0
GCA_024808375.1,100,0.6,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Bradyrhizobium_elkanii,Bradyrhizobium elkanii,Bradyrhizobium elkanii USDA 74,1,2,2,1,1,0,1,1,0,3,3,0
GCA_016092265.1,100,0.62,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia,Burkholderia cepacia,Burkholderia cepacia 921,0,0,3,0,1,0,2,0,0,1,0,0
GCA_016092315.1,100,0.62,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia,Burkholderia cepacia,Burkholderia cepacia 848,0,1,3,0,2,0,2,0,0,3,0,0
GCA_026343935.1,100,0.63,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,Paraburkholderia_nodosa,Paraburkholderia nodosa,Paraburkholderia nodosa CNPSo 3076,0,1,4,1,1,1,1,0,0,2,3,0
GCA_001753285.1,100,0.64,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Legionella_pneumophila,Legionella pneumophila,Legionella pneumophila E3_N,1,0,0,0,0,0,2,0,0,1,0,0
GCA_019642715.1,100,0.65,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia,Burkholderia cepacia,Burkholderia cepacia 121220009-1,0,1,3,0,2,0,2,0,0,3,0,0
GCA_014141625.1,100,0.65,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia,Burkholderia cepacia,Burkholderia cepacia s57,0,1,3,0,2,0,2,0,0,3,0,0
GCA_019642685.1,100,0.65,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia,Burkholderia cepacia,Burkholderia cepacia 121220003-1,0,1,3,0,2,0,2,0,0,3,0,0
GCA_019642115.1,100,0.65,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia,Burkholderia cepacia,Burkholderia cepacia 142550027-1,0,1,3,0,2,0,2,0,0,3,0,0
GCA_014142075.1,100,0.65,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia,Burkholderia cepacia,Burkholderia cepacia s36,0,1,3,0,2,0,2,0,0,3,0,0
GCA_003633955.1,100,0.65,Bacteria,Proteobacteria,Alphaproteobacteria,Thalassobaculales,Oceanibaculaceae,Oceanibaculum,Oceanibaculum_indicum,Oceanibaculum indicum,Oceanibaculum indicum USBA 36,1,0,0,0,0,0,1,0,0,1,3,0
GCA_001526445.1,100,0.66,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia,Burkholderia cepacia,Burkholderia cepacia MSMB1906,0,1,3,0,2,0,2,0,0,4,0,0
GCA_023074325.1,100,0.67,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Legionella_pneumophila,Legionella pneumophila,Legionella pneumophila 75,0,0,0,0,0,0,2,0,0,1,0,0
GCA_014201025.1,100,0.68,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,Paraburkholderia_tuberum,Paraburkholderia tuberum,Paraburkholderia tuberum MM5384-R2,2,2,4,1,2,2,1,0,0,4,3,0
GCA_001526205.1,100,0.68,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia,Burkholderia cepacia,Burkholderia cepacia MSMB1302,0,1,3,0,2,0,2,0,0,4,0,0
GCA_902499245.1,100,0.69,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_lata,Burkholderia lata,Burkholderia lata R-18109,0,0,2,0,1,0,2,0,0,3,3,0
GCA_001580545.1,100,0.69,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,Paraburkholderia_monticola,Paraburkholderia monticola,Paraburkholderia monticola JC2948,1,2,5,2,3,2,1,0,0,3,0,0
GCA_024808515.1,100,0.69,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Bradyrhizobium_elkanii,Bradyrhizobium elkanii,Bradyrhizobium elkanii USDA 63,1,2,2,1,1,0,1,0,0,3,3,0
GCA_902499145.1,100,0.69,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_lata,Burkholderia lata,Burkholderia lata LMG 6993,0,0,2,0,1,0,2,0,0,3,0,0
GCA_902499205.1,100,0.7,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_lata,Burkholderia lata,Burkholderia lata R-50215,0,1,3,0,2,0,2,1,0,3,0,0
GCA_038900695.1,100,0.72,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,Paraburkholderia_mimosarum,Paraburkholderia mimosarum,Paraburkholderia mimosarum JHI2823,0,1,3,0,1,1,1,0,0,4,3,0
GCA_900101795.1,100,0.73,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,Paraburkholderia_tuberum,Paraburkholderia tuberum,Paraburkholderia tuberum DUS833,1,1,4,1,2,1,1,0,0,4,0,0
GCA_001411495.1,100,0.74,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia,Burkholderia cepacia,Burkholderia cepacia UCB 717,0,1,2,0,1,1,2,1,0,3,0,0
GCA_016092295.1,100,0.75,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia,Burkholderia cepacia,Burkholderia cepacia 810,0,0,3,0,1,0,2,0,0,1,0,0
GCA_900452655.1,100,0.76,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Legionella_pneumophila,Legionella pneumophila,Legionella pneumophila NCTC11230,1,0,0,0,0,0,2,0,0,1,0,0
GCA_004169385.1,100,0.76,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Legionella_pneumophila,Legionella pneumophila,Legionella pneumophila NMB002502,1,0,0,0,0,0,2,0,0,1,0,0
GCA_018130215.1,100,0.76,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Bradyrhizobium_jicamae,Bradyrhizobium jicamae,Bradyrhizobium jicamae SZCCT0215,1,2,0,0,0,0,1,0,0,3,1,0
GCA_022576195.1,100,0.76,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Legionella_pneumophila,Legionella pneumophila,Legionella pneumophila 419C,1,0,0,0,0,0,2,0,0,1,0,0
GCA_020419905.1,100,0.78,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia,Burkholderia cepacia,Burkholderia cepacia AU38124,0,1,3,0,2,0,2,0,0,4,0,0
GCA_001531875.1,100,0.81,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia,Burkholderia cepacia,Burkholderia cepacia MSMB1224WGS,0,1,3,0,1,0,2,1,0,3,0,0
GCA_001524765.1,100,0.81,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia,Burkholderia cepacia,Burkholderia cepacia MSMB1224,0,1,3,0,1,0,2,1,0,3,0,0
GCA_001528675.1,100,0.81,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia,Burkholderia cepacia,Burkholderia cepacia MSMB1055WGS,0,1,3,0,1,0,2,1,0,3,0,0
GCA_902500455.1,100,0.81,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_lata,Burkholderia lata,Burkholderia lata LMG 6992,0,1,2,0,1,0,2,0,0,3,0,0
GCA_020419545.1,100,0.81,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia,Burkholderia cepacia,Burkholderia cepacia AU36260,0,1,3,0,1,0,2,0,0,3,0,0
GCA_003268125.1,100,0.81,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia,Burkholderia cepacia,Burkholderia cepacia PT02,0,1,3,0,1,0,2,1,0,3,3,0
GCA_024171365.1,100,0.82,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Bradyrhizobium_elkanii,Bradyrhizobium elkanii,Bradyrhizobium elkanii USDA 23,1,2,2,1,1,0,1,0,0,3,3,0
GCA_003854425.1,100,0.83,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia,Burkholderia cepacia,Burkholderia cepacia Bp9024,0,1,3,0,1,0,2,1,0,3,0,0
GCA_001424605.1,100,0.84,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Bradyrhizobium_japonicum,Bradyrhizobium japonicum,Bradyrhizobium japonicum Leaf396,2,1,1,0,0,1,2,0,0,3,4,0
GCA_000022565.1,100,0.85,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae_(Subgroup_1),Acidobacterium,Acidobacterium_capsulatum,Acidobacterium capsulatum,Acidobacterium capsulatum ATCC 51196,2,1,6,2,10,2,4,2,0,1,0,0
GCA_041734345.1,100,0.86,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Legionella_pneumophila,Legionella pneumophila,Legionella pneumophila 130b,1,0,0,0,0,0,2,0,0,1,0,0
GCA_001524665.1,100,0.86,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia,Burkholderia cepacia,Burkholderia cepacia MSMB0859,0,1,3,0,2,0,2,0,0,4,0,0
GCA_007828025.1,100,0.87,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Nitrospirillum,Nitrospirillum_amazonense,Nitrospirillum amazonense,Nitrospirillum amazonense BR 11865,2,0,10,0,6,1,4,0,0,3,0,0
GCA_000299935.1,100,0.87,Bacteria,Proteobacteria,Alphaproteobacteria,Thalassobaculales,Oceanibaculaceae,Oceanibaculum,Oceanibaculum_indicum,Oceanibaculum indicum,Oceanibaculum indicum P24,1,0,0,0,0,0,1,0,0,1,3,0
GCA_001530055.1,100,0.89,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia,Burkholderia cepacia,Burkholderia cepacia MSMB1332WGS,0,1,3,0,2,0,2,0,0,4,0,0
GCA_001530085.1,100,0.89,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia,Burkholderia cepacia,Burkholderia cepacia MSMB1334WGS,0,1,3,0,2,0,2,0,0,4,0,0
GCA_001530805.1,100,0.89,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia,Burkholderia cepacia,Burkholderia cepacia MSMB1331WGS,0,0,3,0,1,0,2,0,0,1,0,0
GCA_001530005.1,100,0.89,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia,Burkholderia cepacia,Burkholderia cepacia MSMB1330WGS,0,0,3,0,1,0,2,0,0,1,0,0
GCA_001530045.1,100,0.89,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia,Burkholderia cepacia,Burkholderia cepacia MSMB1333WGS,0,1,3,0,2,0,2,0,0,4,0,0
GCA_001529825.1,100,0.89,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia,Burkholderia cepacia,Burkholderia cepacia MSMB1383WGS,0,1,3,0,2,0,2,0,0,4,0,0
GCA_000019165.1,100,0.89,Bacteria,Firmicutes,Desulfitobacteriia,Desulfitobacteriales,Heliobacteriaceae,Heliobacterium,Heliobacterium_modesticaldum,Heliomicrobium modesticaldum,Heliomicrobium modesticaldum Ice1;ATCC 51547,0,0,0,0,0,0,0,1,0,0,0,0
GCA_001530135.1,100,0.89,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia,Burkholderia cepacia,Burkholderia cepacia MSMB1338WGS,0,1,3,0,2,0,2,0,0,4,0,0
GCA_001530785.1,100,0.89,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia,Burkholderia cepacia,Burkholderia cepacia MSMB1329WGS,0,1,3,0,2,0,2,0,0,4,0,0
GCA_006539665.1,100,0.89,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Bradyrhizobium_elkanii,Bradyrhizobium elkanii,Bradyrhizobium elkanii NBRC 14791,1,2,2,1,1,0,1,1,0,3,3,0
GCA_001529685.1,100,0.89,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia,Burkholderia cepacia,Burkholderia cepacia MSMB1384WGS,0,0,3,0,1,0,2,0,0,1,0,0
GCA_001530105.1,100,0.89,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia,Burkholderia cepacia,Burkholderia cepacia MSMB1337WGS,0,1,3,0,2,0,2,0,0,4,0,0
GCA_004125865.1,100,0.9,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia,Burkholderia cepacia,Burkholderia cepacia EB159,0,0,3,0,4,0,2,2,0,3,0,0
GCA_020419185.1,100,0.91,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia,Burkholderia cepacia,Burkholderia cepacia AU40035,0,1,2,0,1,0,2,0,0,3,0,0
GCA_030541745.1,100,0.92,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia,Burkholderia cepacia,Burkholderia cepacia SCCH142Bcc233644,0,1,3,0,2,0,2,0,0,1,0,0
GCA_002082955.2,100,0.95,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Legionella_pneumophila,Legionella pneumophila,Legionella pneumophila FDAARGOS_202,1,0,0,0,0,0,2,0,0,1,0,0
GCA_900452675.1,100,0.95,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Legionella_pneumophila,Legionella pneumophila,Legionella pneumophila NCTC12821,1,0,0,0,0,0,2,0,0,1,0,0
GCA_900452805.1,100,0.95,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Legionella_pneumophila,Legionella pneumophila,Legionella pneumophila NCTC12181,1,0,0,0,0,0,2,0,0,1,0,0
GCA_021344035.2,100,0.97,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia,Burkholderia cepacia,Burkholderia cepacia JK11,0,1,3,0,1,0,2,1,0,3,3,0
GCA_002078015.1,100,0.99,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Niastella,Niastella_populi,Niastella populi,Niastella populi CCTCC AB 208238,0,1,7,6,9,8,5,4,0,3,0,0
GCA_019795695.1,100,1.01,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia,Burkholderia cepacia,Burkholderia cepacia AU2942,0,1,3,0,1,0,2,1,0,3,0,0
GCA_019795675.1,100,1.01,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia,Burkholderia cepacia,Burkholderia cepacia AU3129,0,1,3,0,1,0,2,1,0,3,0,0
GCA_037623475.1,100,1.01,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Bradyrhizobium_japonicum,Bradyrhizobium japonicum,Bradyrhizobium japonicum GW140,1,1,0,1,0,1,2,0,0,3,1,0
GCA_900112865.1,100,1.03,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dyella,Dyella_marensis,Dyella marensis,Dyella marensis UNC178MFTsu3.1,1,1,4,1,6,0,4,2,0,1,1,0
GCA_003543335.1,100,1.03,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae_(Subgroup_1),Acidobacterium,Acidobacterium_capsulatum,Acidobacterium capsulatum,Acidobacterium capsulatum UBA8845,2,1,6,2,10,2,4,2,0,1,0,0
GCA_020420205.1,100,1.04,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia,Burkholderia cepacia,Burkholderia cepacia AU28653,0,1,3,0,2,0,2,0,0,4,0,0
GCA_900099835.1,100,1.04,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,Paraburkholderia_fungorum,Paraburkholderia fungorum,Paraburkholderia fungorum GAS106B,0,1,5,1,3,2,1,0,0,3,0,0
GCA_001645125.1,100,1.05,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,Paraburkholderia_ginsengiterrae,Paraburkholderia ginsengiterrae,Paraburkholderia ginsengiterrae DCY85,0,1,1,1,1,0,1,0,0,1,0,0
GCA_019641715.1,100,1.06,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia,Burkholderia cepacia,Burkholderia cepacia 100540015-1,0,1,3,0,2,0,2,0,0,3,0,0
GCA_009720545.1,100,1.11,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Gimesiaceae,Gimesia,Gimesia_maris,Gimesia maris,Gimesia maris DSM 8797,0,0,0,0,0,0,0,0,0,6,0,0
GCA_007746295.1,100,1.11,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Gimesiaceae,Gimesia,Gimesia_maris,Gimesia maris,Gimesia maris Mal35,0,0,0,0,0,0,0,0,0,6,0,0
GCA_001882795.1,100,1.11,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_ubonensis,Burkholderia ubonensis,Burkholderia ubonensis MSMB0312a,1,1,1,0,0,0,2,0,0,3,3,0
GCA_001530495.1,100,1.11,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_ubonensis,Burkholderia ubonensis,Burkholderia ubonensis MSMB1520WGS,1,1,1,0,0,0,2,0,0,3,3,0
GCA_007747015.1,100,1.11,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Gimesiaceae,Gimesia,Gimesia_maris,Gimesia maris,Gimesia maris CA11,0,0,0,0,0,0,0,0,0,6,0,0
GCA_001039005.1,100,1.12,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia,Burkholderia cepacia,Burkholderia cepacia LK29,0,0,3,0,3,0,2,2,0,3,3,0
GCA_019795615.1,100,1.14,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia,Burkholderia cepacia,Burkholderia cepacia AU3547,0,1,3,0,1,0,2,1,0,3,0,0
GCA_019795635.1,100,1.14,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia,Burkholderia cepacia,Burkholderia cepacia AU3030,0,1,3,0,1,0,2,1,0,3,0,0
GCA_019795745.1,100,1.14,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia,Burkholderia cepacia,Burkholderia cepacia AU2837,0,1,3,0,1,0,2,1,0,3,0,0
GCA_019795535.1,100,1.14,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia,Burkholderia cepacia,Burkholderia cepacia AU3476,0,1,3,0,1,0,2,1,0,3,0,0
GCA_001531665.1,100,1.16,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_ubonensis,Burkholderia ubonensis,Burkholderia ubonensis MSMB2108WGS,1,1,1,0,0,0,2,0,0,3,3,0
GCA_004920945.1,100,1.17,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Legionella_pneumophila,Legionella pneumophila,Legionella pneumophila HH51,1,0,0,0,0,0,2,0,0,1,0,0
GCA_001533225.1,100,1.21,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_ubonensis,Burkholderia ubonensis,Burkholderia ubonensis MSMB705WGS,1,1,1,0,1,0,2,0,0,3,3,0
GCA_001527885.1,100,1.21,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_ubonensis,Burkholderia ubonensis,Burkholderia ubonensis MSMB1586WGS,1,1,1,0,1,0,2,2,0,3,0,0
GCA_001527425.1,100,1.21,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_ubonensis,Burkholderia ubonensis,Burkholderia ubonensis MSMB2061,1,1,1,0,1,0,2,2,0,3,0,0
GCA_001529135.1,100,1.21,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_ubonensis,Burkholderia ubonensis,Burkholderia ubonensis MSMB1212WGS,1,1,1,0,1,0,2,2,0,3,0,0
GCA_001532385.1,100,1.21,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_ubonensis,Burkholderia ubonensis,Burkholderia ubonensis MSMB2189WGS,1,1,1,0,1,0,2,2,0,3,0,0
GCA_902499025.1,100,1.21,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_lata,Burkholderia lata,Burkholderia lata LMG 23254,1,0,2,0,1,1,2,0,0,3,3,0
GCA_001527325.1,100,1.21,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_ubonensis,Burkholderia ubonensis,Burkholderia ubonensis MSMB2054,1,1,1,0,1,0,2,2,0,3,0,0
GCA_001531435.1,100,1.21,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_ubonensis,Burkholderia ubonensis,Burkholderia ubonensis MSMB1508WGS,1,1,1,0,1,0,2,2,0,3,0,0
GCA_001530465.1,100,1.21,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_ubonensis,Burkholderia ubonensis,Burkholderia ubonensis MSMB1519WGS,1,1,1,0,0,0,2,2,0,3,3,0
GCA_001527345.1,100,1.21,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_ubonensis,Burkholderia ubonensis,Burkholderia ubonensis MSMB2055,1,1,1,0,1,0,2,2,0,3,0,0
